chapter,step,title,image,capture_url,status
chapter-01,01-01,เลือกคลัง ภาษา และเมนู,screenshots/original/01-01.jpg,http://localhost:3100/th/finished-goods,captured
chapter-01,01-02,เปลี่ยนคลังสินค้า,screenshots/original/01-02.jpg,http://localhost:3100/th/finished-goods,captured
chapter-01,01-03,เลือกภาษาไทยหรืออังกฤษ,screenshots/original/01-03.jpg,http://localhost:3100/th/finished-goods,captured
chapter-02,02-01,เริ่มจากรายการสินค้า,screenshots/original/02-01.jpg,http://localhost:3100/th/finished-goods,captured
chapter-02,02-02,กรองและเรียงข้อมูล,screenshots/original/02-02.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22search%22%3A%22BATCH-QA-0906%22%7D,captured
chapter-02,02-03,ดูผลลัพธ์และล้างเงื่อนไข,screenshots/original/02-03.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22search%22%3A%22BATCH-QA-0906%22%2C%22products%22%3A%7B%22formats%22%3A%5B%22BOX%22%5D%7D%7D,captured
chapter-02,02-04,เมื่อค้นหาไม่พบ,screenshots/original/02-04.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22search%22%3A%22%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B8%B5%E0%B9%89%22%2C%22products%22%3A%7B%22formats%22%3A%5B%22BOX%22%5D%7D%7D,captured
chapter-02,02-05,ใช้ตารางและแก้ไขจากแถว,screenshots/original/02-05.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22layout%22%3A%22table%22%7D,captured
chapter-02,02-06,ตั้งช่วงจำนวนและลำดับ,screenshots/original/02-06.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22layout%22%3A%22table%22%7D,captured
chapter-02,02-07,ค้นหาหน่วยจัดเก็บและเปิดรายการที่ต้องการ,screenshots/original/02-07.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22tab%22%3A%22pallets%22%2C%22layout%22%3A%22table%22%2C%22search%22%3A%22MANUAL%22%7D,captured
chapter-02,02-08,กรองตามขนาดและเรียงลำดับ,screenshots/original/02-08.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22tab%22%3A%22pallets%22%2C%22layout%22%3A%22table%22%2C%22search%22%3A%22MANUAL%22%7D,captured
chapter-03,03-01,สร้างข้อมูลสินค้า FG,screenshots/original/03-01.jpg,http://localhost:3100/th/finished-goods/new,captured
chapter-03,03-02,กำหนดการจัดเก็บและไปบรรจุ,screenshots/original/03-02.jpg,http://localhost:3100/th/finished-goods/new,captured
chapter-03,03-03,แก้ข้อมูล FG และเปิดชุดจัดเตรียม,screenshots/original/03-03.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
chapter-04,04-01,กำหนดจำนวนและแบ่งบรรจุ,screenshots/original/04-01.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing,captured
chapter-04,04-02,วัดขนาดภายนอกจริง,screenshots/original/04-02.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing,captured
chapter-04,04-03,คัดลอกขนาดเพื่อลดการกรอกซ้ำ,screenshots/original/04-03.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing,captured
chapter-04,04-04,ตรวจยอดรวมก่อนสร้าง,screenshots/original/04-04.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing,captured
chapter-04,04-05,ยืนยันสร้างหน่วยจัดเก็บ,screenshots/original/04-05.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing,captured
chapter-04,04-06,ผลลัพธ์หลังสร้าง,screenshots/original/04-06.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing,captured
chapter-04,04-07,ทางเลือก: แบ่งเท่ากันตามจำนวนหน่วย,screenshots/original/04-07.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing?draft=e2f6993c-9265-4c69-a213-e8a6ea869f9b,captured
chapter-04,04-08,ทางเลือก: กำหนดเอง เพิ่มหรือลบหน่วย,screenshots/original/04-08.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing?draft=e2f6993c-9265-4c69-a213-e8a6ea869f9b,captured
chapter-05,05-01,เลือกแก้เฉพาะหน่วยหรือทั้งชุดที่ยังว่าง,screenshots/original/05-01.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
chapter-05,05-02,ตรวจว่ากำลังแก้หน่วยที่ถูกต้อง,screenshots/original/05-02.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
chapter-05,05-03,ออกจากหน้าที่มีการแก้ไขค้างอยู่,screenshots/original/05-03.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
chapter-05,05-04,แบ่ง 4 พาเลทให้เหลือ 2 พาเลท,screenshots/original/05-04.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
chapter-05,05-05,ยืนยันจำนวนหน่วยทดแทน,screenshots/original/05-05.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
chapter-05,05-06,ผลหลังแบ่งใหม่: สองพาเลท ยอดรวมเดิม,screenshots/original/05-06.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
chapter-05,05-07,ตรวจประวัติการแบ่งบรรจุ,screenshots/original/05-07.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq,captured
